243,2020-Overall,District Of Columbia,All,All,53966.0,31738.0,0.5881
244,2020-Overall,Florida,All,All,1991777.0,966629.0,0.4853
245,2020-Overall,Georgia,All,All,674549.0,282688.0,0.4191
246,2020-Overall,Hawaii,All,All,68290.0,37893.0,0.5549
247,2020-Overall,Idaho,All,All,105914.0,39676.0,0.3746
248,2020-Overall,Illinois,All,All,1084005.0,524190.0,0.4836
249,2020-Overall,Indiana,All,All,510830.0,239857.0,0.4695
250,2020-Overall,Iowa,All,All,191539.0,75841.0,0.396
251,2020-Overall,Kansas,All,All,197226.0,66247.0,0.3359
252,2020-Overall,Kentucky,All,All,241627.0,109419.0,0.4528
253,2020-Overall,Louisiana,All,All,338154.0,143520.0,0.4244
254,2020-Overall,Maine,All,All,73018.0,35803.0,0.4903
255,2020-Overall,Maryland,All,All,700832.0,417337.0,0.5955
256,2020-Overall,Massachusetts,All,All,801475.0,556001.0,0.6937
257,2020-Overall,Michigan,All,All,699065.0,355961.0,0.5092
258,2020-Overall,Minnesota,All,All,277572.0,158810.0,0.5721
259,2020-Overall,Mississippi,All,All,167642.0,79284.0,0.4729
260,2020-Overall,Missouri,All,All,400612.0,155971.0,0.3893
261,2020-Overall,Montana,All,All,52089.0,16403.0,0.3149
262,2020-Overall,Nebraska,All,All,120289.0,37384.0,0.3108
263,2020-Overall,Nevada,All,All,205895.0,93922.0,0.4562
264,2020-Overall,New Hampshire,All,All,110547.0,64333.0,0.582
265,2020-Overall,New Jersey,All,All,903812.0,503402.0,0.557
266,2020-Overall,New Mexico,All,All,119265.0,69992.0,0.5869
267,2020-Overall,New York,All,All,1475277.0,795577.0,0.5393
268,2020-Overall,North Carolina,All,All,733405.0,327896.0,0.4471
269,2020-Overall,North Dakota,All,All,38377.0,10656.0,0.2777
270,2020-Overall,Ohio,All,All,774577.0,373720.0,0.4825
271,2020-Overall,Oklahoma,All,All,246713.0,106603.0,0.4321
272,2020-Overall,Oregon,All,All,214230.0,112540.0,0.5253
273,2020-Overall,Pennsylvania,All,All,1090887.0,573164.0,0.5254
274,2020-Overall,Rhode Island,All,All,90340.0,59864.0,0.6627
275,2020-Overall,South Carolina,All,All,535863.0,208369.0,0.3888
276,2020-Overall,South Dakota,All,All,44711.0,15753.0,0.3523
277,2020-Overall,Tennessee,All,All,449498.0,145065.0,0.3227
278,2020-Overall,Texas,All,All,1584691.0,835072.0,0.527
279,2020-Overall,Utah,All,All,156197.0,64980.0,0.416
280,2020-Overall,Vermont,All,All,28495.0,18620.0,0.6534
281,2020-Overall,Virginia,All,All,796035.0,375839.0,0.4721
282,2020-Overall,Washington,All,All,540821.0,237256.0,0.4387
283,2020-Overall,West Virginia,All,All,154578.0,71112.0,0.46
284,2020-Overall,Wisconsin,All,All,336662.0,144271.0,0.4285
285,2020-Overall,Wyoming,All,All,28740.0,9677.0,0.3367
337,2020-Overall,Alabama,All,0-64,88758.0,40242.0,0.4534
